ABa	27			
ABp	27.1	0.2		
EMS	31	0.6		
P2	34.9	0.8		
ABal	41.8	0.6	14.8	0.6
ABar	41.9	0.6	14.9	0.6
ABpl	41.9	0.8	14.8	0.7
ABpr	42	0.7	14.9	0.8
MS	48.8	1.4	17.8	1
E	49.9	1.4	18.9	1
C	53.3	1.8	18.4	1.5
ABpla	58.7	1.6	16.8	1.2
ABalp	59	1.7	17.2	1.2
ABarp	59	1.5	17.1	1.1
ABpra	59	1.6	17.1	1.1
ABala	59.1	1.7	17.4	1.3
ABara	59.1	1.7	17.2	1.2
ABplp	59.2	1.6	17.4	1.2
ABprp	59.7	1.8	17.7	1.3
P3	60.5	2.2	25.7	1.7
MSa	69.8	2.5	21.1	1.3
MSp	69.9	2.4	21.1	1.3
Cp	77.3	2.8	24	1.1
Ca	77.4	2.9	24.1	1.2
ABplap	82.7	2.4	23.9	1.1
ABplaa	82.8	2.5	24.1	1.2
ABprap	83.1	2.8	24.1	1.4
ABalpa	83.3	2.7	24.3	1.2
ABarap	83.3	2.6	24.2	1
ABpraa	83.4	2.9	24.4	1.6
ABaraa	83.5	2.8	24.4	1.3
ABalap	83.7	2.6	24.5	1.1
ABalpp	83.8	2.8	24.8	1.2
ABalaa	84	2.7	24.8	1.2
ABarpa	84	2.4	25.1	1.1
ABplpa	84.1	2.6	24.9	1.3
ABprpa	84.2	2.8	24.5	1.3
ABprpp	84.4	2.7	24.7	1.2
ABplpp	84.5	2.4	25.3	1
ABarpp	84.8	2.3	25.9	1
Ea	88.3	2.6	38.4	1.6
Ep	90.5	2.9	40.6	2
D	93.5	4.4	33	2.5
MSpa	94.5	3.4	24.6	1.3
MSaa	94.6	3.9	24.8	1.7
MSap	96.6	3.6	26.8	1.5
MSpp	96.7	3.4	26.8	1.4
Cpa	106	4.1	28.8	1.7
Caa	106.7	4	29.2	1.4
ABplaap	109.3	3.3	26.5	1.1
Cpp	109.7	4.4	32.4	1.9
ABplapa	109.8	3.5	27.1	1.3
ABarpaa	110.2	3.4	26.1	1.3
ABplapp	110.4	3.8	27.8	1.6
ABprapa	110.4	4	27.3	1.3
ABplaaa	110.7	3.6	27.8	1.4
Cap	110.8	4.3	33.4	2
ABpraap	111	3.8	27.6	1.2
ABalpap	111.1	3.7	27.8	1.3
ABprapp	111.2	3.7	28.1	1.2
ABarpap	111.3	3.4	27.3	1.2
ABalppp	111.5	3.9	27.8	1.5
ABaraap	111.5	3.8	28.1	1.2
ABplpap	111.6	3.7	27.5	1.3
ABarppa	111.7	3.2	26.9	1.1
ABalpaa	111.8	3.7	28.5	1.5
ABarapa	112	3.9	28.6	1.5
ABprpap	112	4	27.8	1.4
ABalapa	112.2	4.1	28.6	1.6
ABarapp	112.2	3.9	28.9	1.5
ABalapp	112.5	3.9	28.9	1.4
ABarppp	112.6	3.5	27.8	1.4
ABpraaa	112.6	4.1	29.2	1.4
ABplpaa	112.7	3.5	28.6	1.1
ABaraaa	112.8	3.8	29.4	1.3
ABprpaa	112.8	4.1	28.6	1.6
ABalppa	113	4	29.2	1.3
ABplppp	113	3.6	28.4	1.4
ABprppp	113	3.9	28.6	1.4
ABalaaa	113.2	4.3	29.3	1.8
ABalaap	113.8	4.1	29.9	1.7
ABprppa	113.9	4.2	29.5	1.7
ABplppa	114.2	3.8	29.6	1.7
P4	118	7.4	57.5	5.7
MSaaa	123.2	4.9	28.6	1.3
MSpap	123.5	4.6	28.9	1.4
MSaap	123.8	4.8	29.1	1.2
MSpaa	124.1	4	29.6	1
MSapa	126.8	5.1	30.2	1.7
